miRNA,0,1,2,mean_p_value,corrected_p_value
hsa-let-7d-3p,0.00027515276451788284,2.8916922301463388e-05,0.0011417916253595372,0.0004819537707262945,0.02257150159568146
hsa-miR-1180-3p,7.941177939041849e-06,0.0022877746574459616,2.591705774808829e-05,0.000773877631044364,0.02416217936927403
hsa-miR-128-3p,0.0007177991826665261,0.00462459669078996,0.0019668843867036217,0.0024364267533867026,0.04564239451344423
hsa-miR-146a-5p,2.0416857429453214e-06,1.8083953650842905e-08,6.215096598641246e-05,2.1403578561002873e-05,0.0012028811151283613
hsa-miR-146b-3p,0.0044821329805383135,5.2179470509463525e-06,0.0005919068605439611,0.0016930859293777403,0.03700338144305219
hsa-miR-24-3p,2.794982554676062e-07,6.391139857965547e-07,7.169594941415211e-07,5.451905784685606e-07,5.1066184183221845e-05
hsa-miR-3074-5p,1.697289461329919e-05,3.936109004568009e-05,2.6065737358221063e-06,1.9646852798267128e-05,0.0012028811151283613
hsa-miR-3173-5p,8.399878263995894e-05,0.00045786777898982017,0.003477885206418999,0.0013399172560162596,0.03422879535823354
hsa-miR-324-5p,9.772044087943224e-05,0.0006379275697349552,0.0010065051523021592,0.0005807177209721823,0.023311668513311887
hsa-miR-335-3p,0.0042465616031923175,0.0024413075960603957,0.0003993111207497021,0.0023623934400008053,0.04564239451344423
hsa-miR-3605-3p,6.2324696502049e-05,1.3947180789328727e-05,0.0020420518552595316,0.0007061079108503031,0.02416217936927403
hsa-miR-425-3p,8.688634605389269e-11,3.057218508997355e-09,2.768733754636757e-09,1.970946203229335e-09,2.769179415537216e-07
hsa-miR-425-5p,0.0017814821036803243,0.0008011314238121871,0.0005270436309223164,0.0010365523861382761,0.029127122050485555
hsa-miR-503-5p,1.036003257637204e-11,2.069673179260913e-11,1.6165521365030536e-09,5.49202966957345e-10,1.5432603371501396e-07
hsa-miR-744-5p,0.0018989972962055388,1.8734281775891164e-05,0.0032179690493460973,0.0017119002091091756,0.03700338144305219
